sample,cls,n,hits,rate,n_x,hits_x,rate_in,rate_out,prom,share_var_x,share_hit_x,med_ns_hit,med_ns_mis
p4_tumor,defined,42375,5331,12.580530973451328,680,213,31.323529411764707,12.274853099892074,2.5518455623750085,1.6047197640117994,3.995498030388295,9,4
p4_tumor,upv,9491,290,3.055526288062375,510,66,12.941176470588236,2.4941543257989087,5.1886029411764705,5.3735117479717625,22.75862068965517,166,139
p4_tumor,somatic,19523,243,1.244685755263023,326,31,9.50920245398773,1.1043392196697401,8.610762241000115,1.669825334221175,12.757201646090534,13,7
p4_tumor,ambiguous,175711,1648,0.9379037168987713,1141,68,5.959684487291849,0.9050810563097897,6.584696968016064,0.6493617360324624,4.12621359223301,5,3
p6_tumor,defined,125269,7914,6.3176045150835405,1466,209,14.256480218281038,6.223597166466079,2.29071384875256,1.1702815540955862,2.6408895628001012,6,4
p6_tumor,upv,1744,42,2.408256880733945,27,8,29.62962962962963,1.9801980198019802,14.962962962962964,1.548165137614679,19.047619047619047,427,460
p6_tumor,somatic,65655,463,0.7052014317264489,1282,54,4.212168486739469,0.6353595451509173,6.629582444911488,1.9526311781280938,11.663066954643629,15,6
p6_tumor,ambiguous,590897,3226,0.5459496325078652,2125,52,2.447058823529412,0.5390881359847275,4.539255569146373,0.35962274304997316,1.611903285802852,5,3
dcis1,defined,140773,12742,9.051451627797944,1398,211,15.092989985693848,8.99085201793722,1.6787051945224483,0.9930881632131161,1.6559409825773035,20,12
dcis1,upv,53120,965,1.8166415662650603,1320,175,13.257575757575758,1.5250965250965252,8.692942079018028,2.4849397590361444,18.134715025906736,97,85
dcis1,somatic,18536,188,1.0142425550280536,51,13,25.49019607843137,0.9467135515282662,26.924929971988792,0.2751402675873975,6.914893617021277,33,31
dcis1,ambiguous,166825,1458,0.8739697287576802,432,42,9.722222222222221,0.8509973376283858,11.424503688010043,0.2589539937059793,2.880658436213992,12,10
dcis2,defined,129764,12571,9.687586695847846,1240,160,12.903225806451612,9.656562198499891,1.3362131927712408,0.9555809007120619,1.2727706626362263,15,10
dcis2,upv,36323,739,2.0345235801007626,1255,189,15.0597609561753,1.5683814303638646,9.602103585657371,3.4551110866393193,25.57510148849797,117,103
dcis2,somatic,25154,249,0.9899022024330126,242,46,19.00826446280992,0.8148683365446371,23.32679232992713,0.9620736264610003,18.473895582329316,25,15
dcis2,ambiguous,226386,1916,0.8463420882916788,751,65,8.655126498002662,0.8203514525671992,10.550510358599842,0.33173429452351294,3.392484342379958,11,8
