section,donor,modality,run,seed,ari,status,ari_file
151507,donor_1,matched_presence_unitnorm_mech_bin250kb,0,0,,mclust failed at G=7 on a rank-15 embedding: model 'EEE' and default model search both failed,
151507,donor_1,matched_presence_unitnorm_mech_bin250kb,1,1,,mclust failed at G=7 on a rank-13 embedding: model 'EEE' and default model search both failed,
151507,donor_1,matched_presence_unitnorm_mech_bin250kb,2,2,,degenerate embedding: effective rank 2 < G=7 (condition number 3.4e+04). Refusing to fit -- a 7-component mixture in 2 dimensions is not a meaningful clustering. See the degeneracy note in this function and PAPER_PLAN.md 4.1.,
151507,donor_1,matched_presence_unitnorm_mech_bin250kb,3,3,,mclust failed at G=7 on a rank-10 embedding: model 'EEE' and default model search both failed,
151507,donor_1,matched_presence_unitnorm_mech_bin250kb,4,4,,mclust failed at G=7 on a rank-20 embedding: model 'EEE' and default model search both failed,
151507,donor_1,depth_total_unitnorm_mech_bin250kb,0,0,,mclust failed at G=7 on a rank-23 embedding: model 'EEE' and default model search both failed,
151507,donor_1,depth_total_unitnorm_mech_bin250kb,1,1,,mclust failed at G=7 on a rank-11 embedding: model 'EEE' and default model search both failed,
151507,donor_1,depth_total_unitnorm_mech_bin250kb,2,2,,mclust failed at G=7 on a rank-23 embedding: model 'EEE' and default model search both failed,
151507,donor_1,depth_total_unitnorm_mech_bin250kb,3,3,,degenerate embedding: effective rank 4 < G=7 (condition number 0.0323). Refusing to fit -- a 7-component mixture in 4 dimensions is not a meaningful clustering. See the degeneracy note in this function and PAPER_PLAN.md 4.1.,
151507,donor_1,depth_total_unitnorm_mech_bin250kb,4,4,,mclust failed at G=7 on a rank-24 embedding: model 'EEE' and default model search both failed,
151507,donor_1,expr_panel_projected_unitnorm_mech_bin250kb,0,0,,mclust failed at G=7 on a rank-9 embedding: model 'EEE' and default model search both failed,
151507,donor_1,expr_panel_projected_unitnorm_mech_bin250kb,1,1,,mclust failed at G=7 on a rank-10 embedding: model 'EEE' and default model search both failed,
151507,donor_1,expr_panel_projected_unitnorm_mech_bin250kb,2,2,,mclust failed at G=7 on a rank-7 embedding: model 'EEE' and default model search both failed,
151507,donor_1,expr_panel_projected_unitnorm_mech_bin250kb,3,3,,mclust failed at G=7 on a rank-13 embedding: model 'EEE' and default model search both failed,
151507,donor_1,expr_panel_projected_unitnorm_mech_bin250kb,4,4,,degenerate embedding: effective rank 2 < G=7 (condition number 2.48e+03). Refusing to fit -- a 7-component mixture in 2 dimensions is not a meaningful clustering. See the degeneracy note in this function and PAPER_PLAN.md 4.1.,
151507,donor_1,depth_total_resid_unitnorm_mech_bin250kb,0,0,,mclust failed at G=7 on a rank-12 embedding: model 'EEE' and default model search both failed,
151507,donor_1,depth_total_resid_unitnorm_mech_bin250kb,1,1,,mclust failed at G=7 on a rank-24 embedding: model 'EEE' and default model search both failed,
151507,donor_1,depth_total_resid_unitnorm_mech_bin250kb,2,2,,mclust failed at G=7 on a rank-20 embedding: model 'EEE' and default model search both failed,
151507,donor_1,depth_total_resid_unitnorm_mech_bin250kb,3,3,,mclust failed at G=7 on a rank-24 embedding: model 'EEE' and default model search both failed,
151507,donor_1,depth_total_resid_unitnorm_mech_bin250kb,4,4,,degenerate embedding: effective rank 4 < G=7 (condition number 0.306). Refusing to fit -- a 7-component mixture in 4 dimensions is not a meaningful clustering. See the degeneracy note in this function and PAPER_PLAN.md 4.1.,
151507,donor_1,matched_presence_unitnorm_scaled_mech_bin250kb,0,0,0.3563505522083063,ok,/panfs/accrepfs.vampire/data/maiziezhou_lab/leiy4/snv_calling/data/dlpfc_spatial_signal_mechanism_2026-08-26/151507/clustering/matched_presence_unitnorm_scaled_mech_bin250kb/run0/ari.txt
151507,donor_1,matched_presence_unitnorm_scaled_mech_bin250kb,1,1,0.2935523501379687,ok,/panfs/accrepfs.vampire/data/maiziezhou_lab/leiy4/snv_calling/data/dlpfc_spatial_signal_mechanism_2026-08-26/151507/clustering/matched_presence_unitnorm_scaled_mech_bin250kb/run1/ari.txt
151507,donor_1,matched_presence_unitnorm_scaled_mech_bin250kb,2,2,0.3425936070900034,ok,/panfs/accrepfs.vampire/data/maiziezhou_lab/leiy4/snv_calling/data/dlpfc_spatial_signal_mechanism_2026-08-26/151507/clustering/matched_presence_unitnorm_scaled_mech_bin250kb/run2/ari.txt
151507,donor_1,matched_presence_unitnorm_scaled_mech_bin250kb,3,3,0.2798716100600578,ok,/panfs/accrepfs.vampire/data/maiziezhou_lab/leiy4/snv_calling/data/dlpfc_spatial_signal_mechanism_2026-08-26/151507/clustering/matched_presence_unitnorm_scaled_mech_bin250kb/run3/ari.txt
151507,donor_1,matched_presence_unitnorm_scaled_mech_bin250kb,4,4,0.2431608549329982,ok,/panfs/accrepfs.vampire/data/maiziezhou_lab/leiy4/snv_calling/data/dlpfc_spatial_signal_mechanism_2026-08-26/151507/clustering/matched_presence_unitnorm_scaled_mech_bin250kb/run4/ari.txt
151507,donor_1,depth_total_unitnorm_scaled_mech_bin250kb,0,0,0.3996757681005068,ok,/panfs/accrepfs.vampire/data/maiziezhou_lab/leiy4/snv_calling/data/dlpfc_spatial_signal_mechanism_2026-08-26/151507/clustering/depth_total_unitnorm_scaled_mech_bin250kb/run0/ari.txt
151507,donor_1,depth_total_unitnorm_scaled_mech_bin250kb,1,1,0.2829075198201014,ok,/panfs/accrepfs.vampire/data/maiziezhou_lab/leiy4/snv_calling/data/dlpfc_spatial_signal_mechanism_2026-08-26/151507/clustering/depth_total_unitnorm_scaled_mech_bin250kb/run1/ari.txt
151507,donor_1,depth_total_unitnorm_scaled_mech_bin250kb,2,2,0.2926215760742099,ok,/panfs/accrepfs.vampire/data/maiziezhou_lab/leiy4/snv_calling/data/dlpfc_spatial_signal_mechanism_2026-08-26/151507/clustering/depth_total_unitnorm_scaled_mech_bin250kb/run2/ari.txt
151507,donor_1,depth_total_unitnorm_scaled_mech_bin250kb,3,3,0.3824317292272024,ok,/panfs/accrepfs.vampire/data/maiziezhou_lab/leiy4/snv_calling/data/dlpfc_spatial_signal_mechanism_2026-08-26/151507/clustering/depth_total_unitnorm_scaled_mech_bin250kb/run3/ari.txt
151507,donor_1,depth_total_unitnorm_scaled_mech_bin250kb,4,4,0.4190365443178301,ok,/panfs/accrepfs.vampire/data/maiziezhou_lab/leiy4/snv_calling/data/dlpfc_spatial_signal_mechanism_2026-08-26/151507/clustering/depth_total_unitnorm_scaled_mech_bin250kb/run4/ari.txt
151507,donor_1,expr_panel_projected_unitnorm_scaled_mech_bin250kb,0,0,0.5520299278840274,ok,/panfs/accrepfs.vampire/data/maiziezhou_lab/leiy4/snv_calling/data/dlpfc_spatial_signal_mechanism_2026-08-26/151507/clustering/expr_panel_projected_unitnorm_scaled_mech_bin250kb/run0/ari.txt
151507,donor_1,expr_panel_projected_unitnorm_scaled_mech_bin250kb,1,1,0.5078781474776265,ok,/panfs/accrepfs.vampire/data/maiziezhou_lab/leiy4/snv_calling/data/dlpfc_spatial_signal_mechanism_2026-08-26/151507/clustering/expr_panel_projected_unitnorm_scaled_mech_bin250kb/run1/ari.txt
151507,donor_1,expr_panel_projected_unitnorm_scaled_mech_bin250kb,2,2,0.56759659273191,ok,/panfs/accrepfs.vampire/data/maiziezhou_lab/leiy4/snv_calling/data/dlpfc_spatial_signal_mechanism_2026-08-26/151507/clustering/expr_panel_projected_unitnorm_scaled_mech_bin250kb/run2/ari.txt
151507,donor_1,expr_panel_projected_unitnorm_scaled_mech_bin250kb,3,3,0.5265185776894643,ok,/panfs/accrepfs.vampire/data/maiziezhou_lab/leiy4/snv_calling/data/dlpfc_spatial_signal_mechanism_2026-08-26/151507/clustering/expr_panel_projected_unitnorm_scaled_mech_bin250kb/run3/ari.txt
