section,donor,original_mean_ari,original_successful_runs,original_failed_runs,direction_only_mean_ari,direction_only_successful_runs,direction_only_failed_runs,original_modality,direction_only_modality,method_label,delta_ari
151507,donor_1,0.3974976852092443,5,0,0.3553346275079702,5,0,depth_total_mech_bin250kb,depth_total_unitnorm_scaled_mech_bin250kb,Total depth,-0.0421630577012741
151508,donor_1,0.3734399256463265,5,0,0.3155076815231241,5,0,depth_total_mech_bin250kb,depth_total_unitnorm_scaled_mech_bin250kb,Total depth,-0.057932244123202414
151509,donor_1,0.4217664539203846,5,0,0.4145893661523111,5,0,depth_total_mech_bin250kb,depth_total_unitnorm_scaled_mech_bin250kb,Total depth,-0.007177087768073465
151510,donor_1,0.3504648222058332,5,0,0.3375442613327831,5,0,depth_total_mech_bin250kb,depth_total_unitnorm_scaled_mech_bin250kb,Total depth,-0.012920560873050102
151669,donor_2,0.5029181637547738,5,0,0.3306190540359635,5,0,depth_total_mech_bin250kb,depth_total_unitnorm_scaled_mech_bin250kb,Total depth,-0.17229910971881035
151670,donor_2,0.378831825533889,5,0,0.2473261849490738,5,0,depth_total_mech_bin250kb,depth_total_unitnorm_scaled_mech_bin250kb,Total depth,-0.1315056405848152
151671,donor_2,0.584887011236912,5,0,0.4782399631878359,5,0,depth_total_mech_bin250kb,depth_total_unitnorm_scaled_mech_bin250kb,Total depth,-0.1066470480490761
151672,donor_2,0.4295546383430467,5,0,0.3228235757456835,5,0,depth_total_mech_bin250kb,depth_total_unitnorm_scaled_mech_bin250kb,Total depth,-0.1067310625973632
151673,donor_3,0.434361362248171,5,0,0.361940601090056,5,0,depth_total_mech_bin250kb,depth_total_unitnorm_scaled_mech_bin250kb,Total depth,-0.07242076115811502
151674,donor_3,0.3143539129069922,5,0,0.3643590642003197,5,0,depth_total_mech_bin250kb,depth_total_unitnorm_scaled_mech_bin250kb,Total depth,0.0500051512933275
151675,donor_3,0.2956443247216667,5,0,0.3128890736943923,5,0,depth_total_mech_bin250kb,depth_total_unitnorm_scaled_mech_bin250kb,Total depth,0.0172447489727256
151676,donor_3,0.4092538493222525,5,0,0.3532712316009626,5,0,depth_total_mech_bin250kb,depth_total_unitnorm_scaled_mech_bin250kb,Total depth,-0.05598261772128993
151507,donor_1,0.3285948970753815,5,0,0.3031057948858668,5,0,matched_presence_mech_bin250kb,matched_presence_unitnorm_scaled_mech_bin250kb,Matched presence,-0.025489102189514667
151508,donor_1,0.2710757225129299,5,0,0.3124159864353864,5,0,matched_presence_mech_bin250kb,matched_presence_unitnorm_scaled_mech_bin250kb,Matched presence,0.04134026392245649
151509,donor_1,0.3755918926794533,5,0,0.413057445981604,5,0,matched_presence_mech_bin250kb,matched_presence_unitnorm_scaled_mech_bin250kb,Matched presence,0.03746555330215068
151510,donor_1,0.3598997088169163,5,0,0.3595059926600387,5,0,matched_presence_mech_bin250kb,matched_presence_unitnorm_scaled_mech_bin250kb,Matched presence,-0.0003937161568776104
151669,donor_2,0.3984229520290091,5,0,0.2900823026352819,5,0,matched_presence_mech_bin250kb,matched_presence_unitnorm_scaled_mech_bin250kb,Matched presence,-0.10834064939372723
151670,donor_2,0.3321105690205171,5,0,0.1679680876080531,5,0,matched_presence_mech_bin250kb,matched_presence_unitnorm_scaled_mech_bin250kb,Matched presence,-0.16414248141246401
151671,donor_2,0.5107211492144662,5,0,0.4253532663318643,5,0,matched_presence_mech_bin250kb,matched_presence_unitnorm_scaled_mech_bin250kb,Matched presence,-0.08536788288260189
151672,donor_2,0.5537906601751159,5,0,0.3719867456856906,5,0,matched_presence_mech_bin250kb,matched_presence_unitnorm_scaled_mech_bin250kb,Matched presence,-0.1818039144894253
151673,donor_3,0.2570503849407394,5,0,0.2785670458026313,5,0,matched_presence_mech_bin250kb,matched_presence_unitnorm_scaled_mech_bin250kb,Matched presence,0.021516660861891912
151674,donor_3,0.2895187859884787,5,0,0.3078207756240287,5,0,matched_presence_mech_bin250kb,matched_presence_unitnorm_scaled_mech_bin250kb,Matched presence,0.01830198963555002
151675,donor_3,0.2694820089092272,5,0,0.3001439673212193,5,0,matched_presence_mech_bin250kb,matched_presence_unitnorm_scaled_mech_bin250kb,Matched presence,0.030661958411992096
151676,donor_3,0.3789237799055935,5,0,0.3160201112584243,5,0,matched_presence_mech_bin250kb,matched_presence_unitnorm_scaled_mech_bin250kb,Matched presence,-0.06290366864716923
151507,donor_1,0.5346451568144263,5,0,0.5441026854135034,5,0,expr_panel_projected_bin250kb,expr_panel_projected_unitnorm_scaled_mech_bin250kb,Projected expression,0.009457528599077114
151508,donor_1,0.4561507553084923,5,0,0.4721059398395276,5,0,expr_panel_projected_bin250kb,expr_panel_projected_unitnorm_scaled_mech_bin250kb,Projected expression,0.015955184531035282
151509,donor_1,0.5962207685915277,5,0,0.5383146237207025,5,0,expr_panel_projected_bin250kb,expr_panel_projected_unitnorm_scaled_mech_bin250kb,Projected expression,-0.05790614487082524
151510,donor_1,0.5121619027180059,5,0,0.5217264337534522,5,0,expr_panel_projected_bin250kb,expr_panel_projected_unitnorm_scaled_mech_bin250kb,Projected expression,0.0095645310354463
151669,donor_2,0.4401094667089201,5,0,0.4112414181653011,5,0,expr_panel_projected_bin250kb,expr_panel_projected_unitnorm_scaled_mech_bin250kb,Projected expression,-0.028868048543619018
151670,donor_2,0.4462309152175295,5,0,0.4439446727226387,5,0,expr_panel_projected_bin250kb,expr_panel_projected_unitnorm_scaled_mech_bin250kb,Projected expression,-0.002286242494890789
151671,donor_2,0.589114491038413,5,0,0.5877230277405736,5,0,expr_panel_projected_bin250kb,expr_panel_projected_unitnorm_scaled_mech_bin250kb,Projected expression,-0.001391463297839346
