section,donor,modality,n_attempts,n_failures
151507,donor_1,combined_capture_covariates_mech,5,0
151507,donor_1,combined_capture_spline_mech,5,1
151507,donor_1,depth_alt_mech_bin250kb,5,0
151507,donor_1,depth_ref_mech_bin250kb,5,0
151507,donor_1,depth_ref_resid_expr_bin250kb,5,5
151507,donor_1,depth_total_mech_bin250kb,5,0
151507,donor_1,depth_total_posresid_expr_bin250kb,5,5
151507,donor_1,depth_total_resid_expr_bin250kb,5,5
151507,donor_1,depth_total_resid_unitnorm_mech_bin250kb,5,5
151507,donor_1,depth_total_resid_unitnorm_scaled_mech_bin250kb,5,0
151507,donor_1,depth_total_unitnorm_mech_bin250kb,5,5
151507,donor_1,depth_total_unitnorm_scaled_mech_bin250kb,5,0
151507,donor_1,expr_panel_projected_bin250kb,5,0
151507,donor_1,expr_panel_projected_unitnorm_mech_bin250kb,5,5
151507,donor_1,expr_panel_projected_unitnorm_scaled_mech_bin250kb,5,0
151507,donor_1,gene_expr_mech,5,0
151507,donor_1,matched_presence_mech_bin250kb,5,0
151507,donor_1,matched_presence_unitnorm_mech_bin250kb,5,5
151507,donor_1,matched_presence_unitnorm_scaled_mech_bin250kb,5,0
151507,donor_1,panel_capture_covariates_mech,5,0
151507,donor_1,panel_capture_spline_mech,5,4
151507,donor_1,rna_capture_covariates_mech,5,5
151507,donor_1,rna_capture_spline_mech,5,5
151508,donor_1,depth_alt_mech_bin250kb,5,0
151508,donor_1,depth_ref_mech_bin250kb,5,0
151508,donor_1,depth_total_mech_bin250kb,5,0
151508,donor_1,depth_total_resid_expr_bin250kb,5,5
151508,donor_1,depth_total_resid_unitnorm_scaled_mech_bin250kb,5,0
151508,donor_1,depth_total_unitnorm_scaled_mech_bin250kb,5,0
151508,donor_1,expr_panel_projected_bin250kb,5,0
151508,donor_1,expr_panel_projected_unitnorm_scaled_mech_bin250kb,5,0
151508,donor_1,gene_expr_mech,5,0
151508,donor_1,matched_presence_mech_bin250kb,5,0
151508,donor_1,matched_presence_unitnorm_scaled_mech_bin250kb,5,0
151509,donor_1,depth_alt_mech_bin250kb,5,0
151509,donor_1,depth_ref_mech_bin250kb,5,0
151509,donor_1,depth_total_mech_bin250kb,5,0
151509,donor_1,depth_total_resid_expr_bin250kb,5,5
151509,donor_1,depth_total_resid_unitnorm_scaled_mech_bin250kb,5,0
151509,donor_1,depth_total_unitnorm_scaled_mech_bin250kb,5,0
151509,donor_1,expr_panel_projected_bin250kb,5,0
151509,donor_1,expr_panel_projected_unitnorm_scaled_mech_bin250kb,5,0
151509,donor_1,gene_expr_mech,5,0
151509,donor_1,matched_presence_mech_bin250kb,5,0
151509,donor_1,matched_presence_unitnorm_scaled_mech_bin250kb,5,0
151510,donor_1,depth_alt_mech_bin250kb,5,0
151510,donor_1,depth_ref_mech_bin250kb,5,0
151510,donor_1,depth_total_mech_bin250kb,5,0
151510,donor_1,depth_total_resid_expr_bin250kb,5,5
151510,donor_1,depth_total_resid_unitnorm_scaled_mech_bin250kb,5,0
151510,donor_1,depth_total_unitnorm_scaled_mech_bin250kb,5,0
151510,donor_1,expr_panel_projected_bin250kb,5,0
151510,donor_1,expr_panel_projected_unitnorm_scaled_mech_bin250kb,5,0
151510,donor_1,gene_expr_mech,5,0
151510,donor_1,matched_presence_mech_bin250kb,5,0
151510,donor_1,matched_presence_unitnorm_scaled_mech_bin250kb,5,0
151669,donor_2,depth_alt_mech_bin250kb,5,0
151669,donor_2,depth_ref_mech_bin250kb,5,0
151669,donor_2,depth_total_mech_bin250kb,5,0
151669,donor_2,depth_total_resid_expr_bin250kb,5,0
151669,donor_2,depth_total_resid_unitnorm_scaled_mech_bin250kb,5,0
151669,donor_2,depth_total_unitnorm_scaled_mech_bin250kb,5,0
151669,donor_2,expr_panel_projected_bin250kb,5,0
151669,donor_2,expr_panel_projected_unitnorm_scaled_mech_bin250kb,5,0
151669,donor_2,gene_expr_mech,5,0
151669,donor_2,matched_presence_mech_bin250kb,5,0
151669,donor_2,matched_presence_unitnorm_scaled_mech_bin250kb,5,0
151670,donor_2,depth_alt_mech_bin250kb,5,0
151670,donor_2,depth_ref_mech_bin250kb,5,0
151670,donor_2,depth_total_mech_bin250kb,5,0
151670,donor_2,depth_total_resid_expr_bin250kb,5,0
151670,donor_2,depth_total_resid_unitnorm_scaled_mech_bin250kb,5,0
151670,donor_2,depth_total_unitnorm_scaled_mech_bin250kb,5,0
151670,donor_2,expr_panel_projected_bin250kb,5,0
151670,donor_2,expr_panel_projected_unitnorm_scaled_mech_bin250kb,5,0
151670,donor_2,gene_expr_mech,5,0
151670,donor_2,matched_presence_mech_bin250kb,5,0
151670,donor_2,matched_presence_unitnorm_scaled_mech_bin250kb,5,0
151671,donor_2,depth_alt_mech_bin250kb,5,0
151671,donor_2,depth_ref_mech_bin250kb,5,0
151671,donor_2,depth_total_mech_bin250kb,5,0
151671,donor_2,depth_total_resid_expr_bin250kb,5,5
151671,donor_2,depth_total_resid_unitnorm_scaled_mech_bin250kb,5,0
151671,donor_2,depth_total_unitnorm_scaled_mech_bin250kb,5,0
151671,donor_2,expr_panel_projected_bin250kb,5,0
151671,donor_2,expr_panel_projected_unitnorm_scaled_mech_bin250kb,5,0
151671,donor_2,gene_expr_mech,5,0
