section,donor,modality,mean_ari,sd_seed_ari,n_successful_runs,n_attempted_runs,n_failed_runs,method_label
151507,donor_1,depth_alt_mech_bin250kb,0.378539239374952,0.0301684031818302,5,5,0,"ALT
depth"
151507,donor_1,depth_ref_mech_bin250kb,0.3148559237763998,0.0176427728200695,5,5,0,"REF
depth"
151507,donor_1,depth_total_mech_bin250kb,0.3974976852092443,0.048424798681488,5,5,0,"Total
depth"
151507,donor_1,expr_panel_projected_bin250kb,0.5346451568144263,0.0224243681069386,5,5,0,"Projected
expression"
151507,donor_1,gene_expr_mech,0.4819499268613628,0.0421394470030952,5,5,0,"Gene
expression"
151507,donor_1,matched_presence_mech_bin250kb,0.3285948970753815,0.0737812783224282,5,5,0,"Matched
presence"
151508,donor_1,depth_alt_mech_bin250kb,0.315166347913574,0.0359001045520606,5,5,0,"ALT
depth"
151508,donor_1,depth_ref_mech_bin250kb,0.2304786522821512,0.030789688977641,5,5,0,"REF
depth"
151508,donor_1,depth_total_mech_bin250kb,0.3734399256463265,0.0288975460331421,5,5,0,"Total
depth"
151508,donor_1,expr_panel_projected_bin250kb,0.4561507553084923,0.0363639464536766,5,5,0,"Projected
expression"
151508,donor_1,gene_expr_mech,0.4248502460793459,0.0823996866528325,5,5,0,"Gene
expression"
151508,donor_1,matched_presence_mech_bin250kb,0.2710757225129299,0.0292050840392235,5,5,0,"Matched
presence"
151509,donor_1,depth_alt_mech_bin250kb,0.3735196739190977,0.0392148253079469,5,5,0,"ALT
depth"
151509,donor_1,depth_ref_mech_bin250kb,0.3353439177974846,0.0130416771042929,5,5,0,"REF
depth"
151509,donor_1,depth_total_mech_bin250kb,0.4217664539203846,0.0316037590676991,5,5,0,"Total
depth"
151509,donor_1,expr_panel_projected_bin250kb,0.5962207685915277,0.0074957390692316,5,5,0,"Projected
expression"
151509,donor_1,gene_expr_mech,0.4641589231845808,0.0779624833081704,5,5,0,"Gene
expression"
151509,donor_1,matched_presence_mech_bin250kb,0.3755918926794533,0.014473076011631,5,5,0,"Matched
presence"
151510,donor_1,depth_alt_mech_bin250kb,0.3077315311151279,0.0501146453035849,5,5,0,"ALT
depth"
151510,donor_1,depth_ref_mech_bin250kb,0.2736025712692091,0.0386883884097223,5,5,0,"REF
depth"
151510,donor_1,depth_total_mech_bin250kb,0.3504648222058332,0.0357629482039993,5,5,0,"Total
depth"
151510,donor_1,expr_panel_projected_bin250kb,0.5121619027180059,0.0283513779000966,5,5,0,"Projected
expression"
151510,donor_1,gene_expr_mech,0.4594222421232478,0.0416515244868068,5,5,0,"Gene
expression"
151510,donor_1,matched_presence_mech_bin250kb,0.3598997088169163,0.0529951103657139,5,5,0,"Matched
presence"
151669,donor_2,depth_alt_mech_bin250kb,0.4698786882524846,0.0690512926495133,5,5,0,"ALT
depth"
151669,donor_2,depth_ref_mech_bin250kb,0.4340061251915394,0.1177336744491769,5,5,0,"REF
depth"
151669,donor_2,depth_total_mech_bin250kb,0.5029181637547738,0.0665744686647336,5,5,0,"Total
depth"
151669,donor_2,expr_panel_projected_bin250kb,0.4401094667089201,0.0114503961034798,5,5,0,"Projected
expression"
151669,donor_2,gene_expr_mech,0.3083033447867662,0.110823957339225,5,5,0,"Gene
expression"
151669,donor_2,matched_presence_mech_bin250kb,0.3984229520290091,0.0056650558541155,5,5,0,"Matched
presence"
151670,donor_2,depth_alt_mech_bin250kb,0.4754253652387141,0.0979220252387318,5,5,0,"ALT
depth"
151670,donor_2,depth_ref_mech_bin250kb,0.5148479060574827,0.0222724995728822,5,5,0,"REF
depth"
151670,donor_2,depth_total_mech_bin250kb,0.378831825533889,0.0365631812777907,5,5,0,"Total
depth"
151670,donor_2,expr_panel_projected_bin250kb,0.4462309152175295,0.0437810814495346,5,5,0,"Projected
expression"
151670,donor_2,gene_expr_mech,0.3570115192442027,0.0729649533583712,5,5,0,"Gene
expression"
151670,donor_2,matched_presence_mech_bin250kb,0.3321105690205171,0.0358795674384,5,5,0,"Matched
presence"
151671,donor_2,depth_alt_mech_bin250kb,0.5178019876591299,0.1956567584014805,5,5,0,"ALT
depth"
151671,donor_2,depth_ref_mech_bin250kb,0.4313794676359074,0.0211194914796852,5,5,0,"REF
depth"
151671,donor_2,depth_total_mech_bin250kb,0.584887011236912,0.1665006988629468,5,5,0,"Total
depth"
151671,donor_2,expr_panel_projected_bin250kb,0.589114491038413,0.0111055905788282,5,5,0,"Projected
expression"
151671,donor_2,gene_expr_mech,0.5395282825522003,0.0161786500271441,5,5,0,"Gene
expression"
151671,donor_2,matched_presence_mech_bin250kb,0.5107211492144662,0.1401482047664578,5,5,0,"Matched
presence"
151672,donor_2,depth_alt_mech_bin250kb,0.5429567831068752,0.1370011099226224,5,5,0,"ALT
depth"
151672,donor_2,depth_ref_mech_bin250kb,0.4031166577144389,0.1099189310808938,5,5,0,"REF
depth"
151672,donor_2,depth_total_mech_bin250kb,0.4295546383430467,0.1586502536094533,5,5,0,"Total
depth"
151672,donor_2,expr_panel_projected_bin250kb,0.5737326805197306,0.0155890101724263,5,5,0,"Projected
expression"
151672,donor_2,gene_expr_mech,0.5951748763734426,0.0377932807433061,5,5,0,"Gene
expression"
151672,donor_2,matched_presence_mech_bin250kb,0.5537906601751159,0.1548117196694738,5,5,0,"Matched
presence"
151673,donor_3,depth_alt_mech_bin250kb,0.3514332892299527,0.0478407697036992,5,5,0,"ALT
depth"
151673,donor_3,depth_ref_mech_bin250kb,0.2933986952919736,0.0369145068034834,5,5,0,"REF
depth"
151673,donor_3,depth_total_mech_bin250kb,0.434361362248171,0.0540873389395993,5,5,0,"Total
depth"
151673,donor_3,expr_panel_projected_bin250kb,0.5644430334214746,0.0479405752411814,5,5,0,"Projected
expression"
151673,donor_3,gene_expr_mech,0.4886287318211179,0.0838280295730634,5,5,0,"Gene
expression"
151673,donor_3,matched_presence_mech_bin250kb,0.2570503849407394,0.027556072438656,5,5,0,"Matched
presence"
151674,donor_3,depth_alt_mech_bin250kb,0.40544644577522,0.0570461068468723,5,5,0,"ALT
depth"
151674,donor_3,depth_ref_mech_bin250kb,0.2621456330305083,0.0315308310382422,5,5,0,"REF
depth"
151674,donor_3,depth_total_mech_bin250kb,0.3143539129069922,0.0405433117546971,5,5,0,"Total
depth"
151674,donor_3,expr_panel_projected_bin250kb,0.4053245022409075,0.0495451982469323,5,5,0,"Projected
expression"
151674,donor_3,gene_expr_mech,0.3930623465809414,0.1162164264981049,5,5,0,"Gene
expression"
151674,donor_3,matched_presence_mech_bin250kb,0.2895187859884787,0.0230811506119386,5,5,0,"Matched
presence"
151675,donor_3,depth_alt_mech_bin250kb,0.3183847186576886,0.0434142606625789,5,5,0,"ALT
depth"
151675,donor_3,depth_ref_mech_bin250kb,0.2376285926152255,0.0359319307688337,5,5,0,"REF
depth"
151675,donor_3,depth_total_mech_bin250kb,0.2956443247216667,0.0387886924437747,5,5,0,"Total
depth"
151675,donor_3,expr_panel_projected_bin250kb,0.4482449238983989,0.0126857585671126,5,5,0,"Projected
expression"
151675,donor_3,gene_expr_mech,0.4214809581353599,0.119531681914823,5,5,0,"Gene
expression"
151675,donor_3,matched_presence_mech_bin250kb,0.2694820089092272,0.0409315432205987,5,5,0,"Matched
presence"
151676,donor_3,depth_alt_mech_bin250kb,0.3451356418157041,0.0248463618052164,5,5,0,"ALT
depth"
151676,donor_3,depth_ref_mech_bin250kb,0.3481155799413799,0.0019875983514322,5,5,0,"REF
depth"
151676,donor_3,depth_total_mech_bin250kb,0.4092538493222525,0.073984816616351,5,5,0,"Total
depth"
151676,donor_3,expr_panel_projected_bin250kb,0.5384508488949299,0.0631766413002209,5,5,0,"Projected
expression"
151676,donor_3,gene_expr_mech,0.4416563166226727,0.0603734662058148,5,5,0,"Gene
expression"
151676,donor_3,matched_presence_mech_bin250kb,0.3789237799055935,0.0854292266897443,5,5,0,"Matched
presence"
