sample,variant,ratio,ci_lo,ci_hi,p_value,somatic_hit,somatic_tot,unresolved_hit,unresolved_tot
P4,raw,1.327093317615419,1.1608121894659693,1.5171934699184433,3.581373452609308e-05,243,19523,1648,175711
P4,xMHC_excluded,1.220155047960421,1.0580150279352338,1.4071429060593956,0.00417300772072358,212,19197,1580,174570
P4,xMHC_only,1.5955882352941178,1.0625944681323896,2.3959298612608633,0.019240469517911064,31,326,68,1141
P6,raw,1.2916968704366505,1.1722026678535638,1.4233722980267696,3.107521574721658e-07,463,65655,3226,590897
P6,xMHC_excluded,1.1785819474404406,1.0636039291285042,1.3059893526067226,0.0011391412382147624,409,64373,3174,588772
P6,xMHC_only,1.7213188527541101,1.1836940846948814,2.5031286640335595,0.0031148686644766077,54,1282,52,2125
DCIS1,raw,1.1605007835566188,0.9977297299427881,1.3498265394103797,0.03115838241520649,188,18536,1458,166825
DCIS1,xMHC_excluded,1.1124753388378728,0.9514896317041898,1.3006987551780278,0.09892006813027293,175,18485,1416,166393
DCIS1,xMHC_only,2.621848739495798,1.5123228281840346,4.545385869133488,0.002204754170692365,13,51,42,432
DCIS2,raw,1.169624217118998,1.025614701002515,1.3338545244466757,0.01177117672638964,249,25154,1916,226386
DCIS2,xMHC_excluded,0.9933161378511572,0.8598249018975851,1.1475324191448733,0.5471691442479342,203,24912,1851,225635
DCIS2,xMHC_only,2.196185632549269,1.5495653181469347,3.1126350571550914,1.824045180790351e-05,46,242,65,751
